fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-09-18,DL,DL_CODESHARE,DL,5716,CP,N610CZ,5716,11603,EUG,"Eugene, OR",14747,SEA,"Seattle, WA",1119,1114,-5,16,1130,1219,10,1254,1229,-25,0,,0,N,95,75,49,1,234,,,,,,,,,
2018-08-23,AA,AA_CODESHARE,AA,4609,YX,N411YX,4609,15624,VPS,"Valparaiso, FL",11278,DCA,"Washington, DC",1054,1043,-11,21,1104,1352,13,1408,1405,-3,0,,0,N,134,142,108,1,789,,,,,,,,,
2018-09-25,B6,B6,B6,976,B6,N623JB,976,11697,FLL,"Fort Lauderdale, FL",14100,PHL,"Philadelphia, PA",2139,2154,15,12,2206,16,8,17,24,7,0,,0,N,158,150,130,1,992,,,,,,,,,
2018-05-28,AS,AS_CODESHARE,AS,2403,QX,N449QX,2403,10713,BOI,"Boise, ID",14831,SJC,"San Jose, CA",857,855,-2,9,904,930,4,947,934,-13,0,,0,N,110,99,86,1,523,,,,,,,,,
2019-06-12,UA,UA_CODESHARE,UA,6322,YV,N93305,6322,12264,IAD,"Washington, DC",10397,ATL,"Atlanta, GA",2215,28,133,13,41,210,6,6,216,130,0,,0,N,111,108,89,1,534,0,0,0,0,130,,,,
2019-04-19,WN,WN,WN,1472,WN,N7816B,1472,13796,OAK,"Oakland, CA",14869,SLC,"Salt Lake City, UT",2200,2209,9,13,2222,43,2,45,45,0,0,,0,N,105,96,81,1,588,,,,,,,,,
2019-09-08,AA,AA_CODESHARE,AA,4461,YX,N434YX,4461,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",1300,1252,-8,15,1307,1435,11,1500,1446,-14,0,,0,N,120,114,88,1,502,,,,,,,,,
2018-01-10,UA,UA,UA,635,UA,N36272,635,10821,BWI,"Baltimore, MD",13930,ORD,"Chicago, IL",545,539,-6,12,551,629,8,657,637,-20,0,,0,N,132,118,98,1,622,,,,,,,,,
2019-04-17,AA,AA_CODESHARE,AA,4094,MQ,N670AE,4094,11193,CVG,"Cincinnati, OH",13930,ORD,"Chicago, IL",713,706,-7,24,730,721,16,739,737,-2,0,,0,N,86,91,51,1,264,,,,,,,,,
2018-06-09,UA,UA,UA,1771,UA,N37468,1771,11884,GEG,"Spokane, WA",11292,DEN,"Denver, CO",1330,1312,-18,15,1327,1618,8,1642,1626,-16,0,,0,N,132,134,111,1,836,,,,,,,,,
